,LID,blue,green,nir,obs_mgL,red,station,total,rb,rg,rn,gn,sp1,sp2,month
123,5,0.115,0.163,0.144,37.99978294,0.171,3,0.449,1.486956522,1.049079755,1.1875,1.131944444,0.167,1.193079755,5
124,5,0.086,0.128,0.08,54.00008569,0.119,3,0.333,1.38372093,0.9296875,1.4875,1.6,0.1235,1.0096875,5
125,3,0.075,0.123,0.077,54.00008569,0.117,3,0.315,1.56,0.951219512,1.519480519,1.597402597,0.12,1.028219512,5
126,5,0.123,0.159,0.145,149.1477886,0.156,3,0.438,1.268292683,0.981132075,1.075862069,1.096551724,0.1575,1.126132075,6
127,3,0.078,0.122,0.091,751.7438963,0.123,3,0.323,1.576923077,1.008196721,1.351648352,1.340659341,0.1225,1.099196721,8
128,3,0.076,0.117,0.064,596.0847361,0.118,3,0.311,1.552631579,1.008547009,1.84375,1.828125,0.1175,1.072547009,8
129,5,0.103,0.145,0.114,218.4032175,0.15,3,0.398,1.45631068,1.034482759,1.315789474,1.271929825,0.1475,1.148482759,9
130,5,0.081,0.121,0.099,310.3458559,0.128,3,0.33,1.580246914,1.05785124,1.292929293,1.222222222,0.1245,1.15685124,9
131,3,0.071,0.103,0.056,578.522308,0.101,3,0.275,1.422535211,0.980582524,1.803571429,1.839285714,0.102,1.036582524,10
132,3,0.066,0.097,0.058,636.9870241,0.095,3,0.258,1.439393939,0.979381443,1.637931034,1.672413793,0.096,1.037381443,10
133,5,0.066,0.099,0.05,583.6333341,0.092,3,0.257,1.393939394,0.929292929,1.84,1.98,0.0955,0.979292929,11
134,3,0.065,0.105,0.04,583.6333341,0.097,3,0.267,1.492307692,0.923809524,2.425,2.625,0.101,0.963809524,11
135,3,0.075,0.114,0.039,425.0931266,0.105,3,0.294,1.4,0.921052632,2.692307692,2.923076923,0.1095,0.960052632,11
136,3,0.078,0.119,0.056,141.9456741,0.112,3,0.309,1.435897436,0.941176471,2,2.125,0.1155,0.997176471,11
137,5,0.12,0.143,0.096,15.04777271,0.133,3,0.396,1.108333333,0.93006993,1.385416667,1.489583333,0.138,1.02606993,12
138,3,0.068,0.104,0.048,15.04777271,0.096,3,0.268,1.411764706,0.923076923,2,2.166666667,0.1,0.971076923,12
139,3,0.074,0.11,0.062,20.00062878,0.1,3,0.284,1.351351351,0.909090909,1.612903226,1.774193548,0.105,0.971090909,12
140,3,0.062,0.094,0.061,33.00059384,0.081,3,0.237,1.306451613,0.861702128,1.327868852,1.540983607,0.0875,0.922702128,1
141,5,0.149,0.1715,0.141,33.00059384,0.1615,3,0.482,1.083892617,0.941690962,1.145390071,1.216312057,0.1665,1.082690962,1
142,3,0.057,0.089,0.049,2.000792393,0.076,3,0.222,1.333333333,0.853932584,1.551020408,1.816326531,0.0825,0.902932584,1
143,3,0.059,0.09,0.047,3.000798815,0.071,3,0.22,1.203389831,0.788888889,1.510638298,1.914893617,0.0805,0.835888889,2
144,5,0.074,0.097,0.051,3.000798815,0.076,3,0.247,1.027027027,0.783505155,1.490196078,1.901960784,0.0865,0.834505155,2
145,3,0.059,0.089,0.053,40.39011009,0.074,3,0.222,1.254237288,0.831460674,1.396226415,1.679245283,0.0815,0.884460674,3
146,5,0.092,0.13,0.112,210.8646108,0.129,3,0.351,1.402173913,0.992307692,1.151785714,1.160714286,0.1295,1.104307692,5
147,5,0.119,0.164,0.144,424.9987786,0.17,3,0.453,1.428571429,1.036585366,1.180555556,1.138888889,0.167,1.180585366,6
148,3,0.069,0.108,0.08,217.3851557,0.111,3,0.288,1.608695652,1.027777778,1.3875,1.35,0.1095,1.107777778,6
149,5,0.088,0.119,0.081,162.1623623,0.105,3,0.312,1.193181818,0.882352941,1.296296296,1.469135802,0.112,0.963352941,3
